SourceFile,EXIF:CreateDate,RTF:CreateDate,PDF:CreateDate,FlashPix:CreateDate,File:FileCreateDate,QuickTime:CreateDate,XMP:CreateDate,Composite:DateTimeOriginal,EXIF:DateTimeOriginal,XMP:DateTimeOriginal,XMP:DateTimeDigitized,QuickTime:MediaCreateDate,Composite:SubSecCreateDate,XMP:CreationDate,Matroska:DateTimeOriginal,QuickTime:TrackCreateDate,XML:CreateDate,Composite:SubSecDateTimeOriginal,EXIF:CreateDate_ts,RTF:CreateDate_ts,PDF:CreateDate_ts,FlashPix:CreateDate_ts,File:FileCreateDate_ts,QuickTime:CreateDate_ts,XMP:CreateDate_ts,Composite:DateTimeOriginal_ts,EXIF:DateTimeOriginal_ts,XMP:DateTimeOriginal_ts,XMP:DateTimeDigitized_ts,QuickTime:MediaCreateDate_ts,Composite:SubSecCreateDate_ts,XMP:CreationDate_ts,Matroska:DateTimeOriginal_ts,QuickTime:TrackCreateDate_ts,XML:CreateDate_ts,Composite:SubSecDateTimeOriginal_ts,EarliestTimestamp,EarliestYear
D:/HDD Data/Luxoft/FS updates/CIMB DataManagement v20190603.pdf,,,2019:06:12 15:02:16+03:00,,2025:10:31 17:50:49+01:00,,,,,,,,,,,,,,,,1560340936.0,,1761929449.0,,,,,,,,,,,,,,1560340936.0,2019
D:/HDD Data/Ciklum/eToro&Moon Active/All vacancies_25.9.2020.xlsx,,,,,2025:10:31 17:33:43+01:00,,,,,,,,,,,,2020:09:25 14:00:34Z,,,,,,1761928423.0,,,,,,,,,,,,1601042434.0,,1601042434.0,2020
D:/HDD Data/Downloads/All vacancies (77).xlsx,,,,,2025:10:31 17:34:04+01:00,,,,,,,,,,,,2020:06:01 09:00:58Z,,,,,,1761928444.0,,,,,,,,,,,,1591002058.0,,1591002058.0,2020
D:/HDD Data/OTHER/big 4/ЗАДАНИЕ (ГАЛАГАН Д.Ю.).docx,,,,,2025:10:31 17:51:22+01:00,,,,,,,,,,,,2015:02:11 11:14:00Z,,,,,,1761929482.0,,,,,,,,,,,,1423653240.0,,1423653240.0,2015
D:/HDD Data/OTHER/Фильмы/Stonehearst.Asylum.2014.D.HDRip.2100MB.avi,,,,,2025:10:31 18:17:17+01:00,,,,,,,,,,,,,,,,,,1761931037.0,,,,,,,,,,,,,,1761931037.0,2025
D:/HDD Data/Ciklum/Evalute Proposal/Global Recruitment Services 2020.pptx,,,,,2025:10:31 17:33:44+01:00,,,,,,,,,,,,2019:08:15 12:26:32Z,,,,,,1761928424.0,,,,,,,,,,,,1565871992.0,,1565871992.0,2019
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (27).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:03:19 09:30:25Z,,,,,,1761928453.0,,,,,,,,,,,,1584610225.0,,1584610225.0,2020
D:/HDD Data/Ciklum/Planning file update/Recruitment Activity_2018-now.xlsx,,,,,2025:10:31 17:33:49+01:00,,,,,,,,,,,,2020:01:31 18:25:17Z,,,,,,1761928429.0,,,,,,,,,,,,1580495117.0,,1580495117.0,2020
D:/HDD Data/OTHER/beautiq.com.ua/Стоимость аренды автомата от 35 грн.docx,,,,,2025:10:31 17:51:19+01:00,,,,,,,,,,,,2012:06:25 13:32:00Z,,,,,,1761929479.0,,,,,,,,,,,,1340631120.0,,1340631120.0,2012
D:/HDD Data/Downloads/Candidate Sources (5).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2019:12:18 16:27:34Z,,,,,,1761928453.0,,,,,,,,,,,,1576686454.0,,1576686454.0,2019
D:/HDD Data/Downloads/hires-djinni-2020-02-03.xlsx,,,,,2025:10:31 17:34:17+01:00,,,,,,,,,,,,2020:02:03 10:10:28Z,,,,,,1761928457.0,,,,,,,,,,,,1580724628.0,,1580724628.0,2020
D:/HDD Data/OTHER/Downloads/Import files from Payment Reports 03.09.2017.xlsm,,,,,2025:10:31 17:52:33+01:00,,,,,,,,,,,,2006:09:16 00:00:00Z,,,,,,1761929553.0,,,,,,,,,,,,1158364800.0,,1158364800.0,2006
D:/HDD Data/OTHER/Фильмы/Ognenay.stena.2006.HDRip.Megashara.com.avi,,,,,2025:10:31 18:11:30+01:00,,,,,,,,,,,,,,,,,,1761930690.0,,,,,,,,,,,,,,1761930690.0,2025
D:/HDD Data/OTHER/ФЛЭШКА/Цикличность экономики ШВЕЦОВА Н.docx,,,,,2025:10:31 18:27:30+01:00,,,,,,,,,,,,2014:11:04 06:31:00Z,,,,,,1761931650.0,,,,,,,,,,,,1415082660.0,,1415082660.0,2014
D:/HDD Data/Ciklum/Recruitment budget 2021/Global Recruitment 2021_Recruitment_DH.xlsx,,,,,2025:10:31 17:33:51+01:00,,,,,,,,,,,,2015:06:05 18:17:20Z,,,,,,1761928431.0,,,,,,,,,,,,1433528240.0,,1433528240.0,2015
D:/HDD Data/Ciklum/Backlog cleaning/Backlog cleaning_27.11.2019_v5.xlsb,,,,,2025:10:31 17:33:31+01:00,,,,,,,,,,,,2019:11:27 10:21:34Z,,,,,,1761928411.0,,,,,,,,,,,,1574850094.0,,1574850094.0,2019
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot (42).xlsx,,,,,2025:10:31 17:34:10+01:00,,,,,,,,,,,,2020:01:30 15:35:21Z,,,,,,1761928450.0,,,,,,,,,,,,1580398521.0,,1580398521.0,2020
D:/HDD Data/Downloads/Step duration (7).xlsx,,,,,2025:10:31 17:34:25+01:00,,,,,,,,,,,,2019:12:24 09:42:42Z,,,,,,1761928465.0,,,,,,,,,,,,1577180562.0,,1577180562.0,2019
D:/HDD Data/Luxoft/Refinitiv workshop/Thomson Reuters Action plan (Feb 2019).pptx,,,,,2025:10:31 17:50:59+01:00,,,,,,,,,,,,2016:09:12 09:24:34Z,,,,,,1761929459.0,,,,,,,,,,,,1473672274.0,,1473672274.0,2016
D:/HDD Data/Ciklum/KPI Q3-Q4 Review/Internal referral Q1-Q2.xlsx,,,,,2025:10:31 17:33:45+01:00,,,,,,,,,,,,2020:07:15 08:37:12Z,,,,,,1761928425.0,,,,,,,,,,,,1594802232.0,,1594802232.0,2020
D:/HDD Data/OTHER/docs/Приглашаем Вас принять участие в беседе с руководством ТК Декор Донбасса по поводу снижения аренды на 50.docx,,,,,2025:10:31 17:51:50+01:00,,,,,,,,,,,,2014:03:16 12:08:00Z,,,,,,1761929510.0,,,,,,,,,,,,1394971680.0,,1394971680.0,2014
D:/HDD Data/OTHER/docs/РЕЗЮМЕ без фото.docx,,,,,2025:10:31 17:51:50+01:00,,,,,,,,,,,,2014:03:04 22:05:00Z,,,,,,1761929510.0,,,,,,,,,,,,1393970700.0,,1393970700.0,2014
D:/HDD Data/Ciklum/Monthly vacancy balance/All vacancies_12.10.2020.xlsx,,,,,2025:10:31 17:33:48+01:00,,,,,,,,,,,,2020:10:12 13:01:23Z,,,,,,1761928428.0,,,,,,,,,,,,1602507683.0,,1602507683.0,2020
D:/HDD Data/Downloads/Sourcing KPI_March.xlsx,,,,,2025:10:31 17:34:24+01:00,,,,,,,,,,,,2020:01:06 13:19:01Z,,,,,,1761928464.0,,,,,,,,,,,,1578316741.0,,1578316741.0,2020
D:/HDD Data/Luxoft/For review/List of accounts.PNG,,,,,2025:10:31 17:50:48+01:00,,,,,,,,,,,,,,,,,,1761929448.0,,,,,,,,,,,,,,1761929448.0,2025
D:/HDD Data/Luxoft/North America Accounts/North America_non-utilised included.xlsm,,,,,2025:10:31 17:50:56+01:00,,,,,,,,,,,,2019:04:15 15:23:27Z,,,,,,1761929456.0,,,,,,,,,,,,1555341807.0,,1555341807.0,2019
D:/HDD Data/Ciklum/Account analysis/Accounts Profitability_May.xlsx,,,,,2025:10:31 17:33:30+01:00,,,,,,,,,,,,2020:07:03 09:24:46Z,,,,,,1761928410.0,,,,,,,,,,,,1593768286.0,,1593768286.0,2020
D:/HDD Data/OTHER/Downloads/Модель Инвестиции.doc,,,,2017:04:03 02:35:00,2025:10:31 17:53:21+01:00,,,,,,,,,,,,,,,,,1491179700.0,1761929601.0,,,,,,,,,,,,,,1491179700.0,2017
D:/HDD Data/Luxoft/Refinitiv workshop/Q1 2019 Earnings Presentation.pdf,,,2019:05:08 06:33:51-04:00,,2025:10:31 17:50:59+01:00,,2019:05:08 06:33:51-04:00,,,,,,,,,,,,,,1557311631.0,,1761929459.0,,1557311631.0,,,,,,,,,,,,1557311631.0,2019
D:/HDD Data/Downloads/JD+.Net+(Azure)+Full-Stack+Development_PK.docx,,,,,2025:10:31 17:34:17+01:00,,,,,,,,,,,,2019:04:19 07:29:00Z,,,,,,1761928457.0,,,,,,,,,,,,1555658940.0,,1555658940.0,2019
D:/HDD Data/Downloads/All vacancies (97).xlsx,,,,,2025:10:31 17:34:05+01:00,,,,,,,,,,,,2020:08:06 07:44:20Z,,,,,,1761928445.0,,,,,,,,,,,,1596699860.0,,1596699860.0,2020
D:/HDD Data/Ciklum/Different Statistics/Sisense 2018-2020.xlsx,,,,,2025:10:31 17:33:42+01:00,,,,,,,,,,,,2020:04:29 10:07:17Z,,,,,,1761928422.0,,,,,,,,,,,,1588154837.0,,1588154837.0,2020
D:/HDD Data/OTHER/Downloads/JES_and_Ronski_Speed_-_Cant_Stop_(Radio_Edit)_(www.primemusic.ru).mp3,,,,,2025:10:31 17:52:35+01:00,,,2011,,,,,,,,,,,,,,,1761929555.0,,,,,,,,,,,,,,1761929555.0,2025
D:/HDD Data/Downloads/MA.PNG,,,,,2025:10:31 17:34:17+01:00,,,,,,,,,,,,,,,,,,1761928457.0,,,,,,,,,,,,,,1761928457.0,2025
D:/HDD Data/Luxoft/UA PL RO MX/Financial model_31.05.2019_UA PL RO MX.xlsb,,,,,2025:10:31 17:51:00+01:00,,,,,,,,,,,,2006:09:16 00:00:00Z,,,,,,1761929460.0,,,,,,,,,,,,1158364800.0,,1158364800.0,2006
D:/HDD Data/OTHER/Downloads/Molly_Sanden_-_Freak_(PrimeMusic.ru).mp3,,,,,2025:10:31 17:52:48+01:00,,,2014-07-28T07:00:00Z,,,,,,,,,,,,,,,1761929568.0,,,,,,,,,,,,,,1761929568.0,2025
D:/HDD Data/Ciklum/Step analysis/Step analysis_2019.xlsx,,,,,2025:10:31 17:34:00+01:00,,,,,,,,,,,,2020:04:09 09:02:33Z,,,,,,1761928440.0,,,,,,,,,,,,1586422953.0,,1586422953.0,2020
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot - 2020-09-18T161007.806.xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:09:18 13:10:08Z,,,,,,1761928451.0,,,,,,,,,,,,1600434608.0,,1600434608.0,2020
D:/HDD Data/Downloads/Recruitment Activity (58).xlsx,,,,,2025:10:31 17:34:20+01:00,,,,,,,,,,,,2020:09:01 12:14:13Z,,,,,,1761928460.0,,,,,,,,,,,,1598962453.0,,1598962453.0,2020
D:/HDD Data/Downloads/Researchers KPI (25).xlsx,,,,,2025:10:31 17:34:22+01:00,,,,,,,,,,,,2020:02:19 12:12:54Z,,,,,,1761928462.0,,,,,,,,,,,,1582114374.0,,1582114374.0,2020
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot - 2020-10-12T153902.467.xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:10:12 12:39:02Z,,,,,,1761928451.0,,,,,,,,,,,,1602506342.0,,1602506342.0,2020
D:/HDD Data/OTHER/Downloads/Tomorrowland_2014_Warm_Up_Mix_2_Tracklilst_-_Dimitri_Vegas_Like_Mike_Wolfpack_-_Ocarina-_Dimitri_V_(get-tune.net).mp3,,,,,2025:10:31 17:53:12+01:00,,,,,,,,,,,,,,,,,,1761929592.0,,,,,,,,,,,,,,1761929592.0,2025
D:/HDD Data/OTHER/Downloads/3-1 укр язык.docx,,,,,2025:10:31 17:51:54+01:00,,,,,,,,,,,,2016:04:02 15:39:00Z,,,,,,1761929514.0,,,,,,,,,,,,1459611540.0,,1459611540.0,2016
D:/HDD Data/Ciklum/Monthly vacancy balance/Monthly vacacy balance_01.06.2020.xlsx,,,,,2025:10:31 17:33:48+01:00,,,,,,,,,,,,2020:01:29 11:57:11Z,,,,,,1761928428.0,,,,,,,,,,,,1580299031.0,,1580299031.0,2020
D:/HDD Data/OTHER/Downloads/ОК 2017 апрель.xlsx,,,,,2025:10:31 17:53:22+01:00,,,,,,,,,,,,2015:02:04 12:43:45Z,,,,,,1761929602.0,,,,,,,,,,,,1423053825.0,,1423053825.0,2015
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot (21).xlsx,,,,,2025:10:31 17:34:10+01:00,,,,,,,,,,,,2020:01:30 10:53:59Z,,,,,,1761928450.0,,,,,,,,,,,,1580381639.0,,1580381639.0,2020
D:/HDD Data/Luxoft/LEXTA PRESENTATION/FINCONS.pptx,,,,,2025:10:31 17:50:52+01:00,,,,,,,,,,,,2016:09:09 15:08:10Z,,,,,,1761929452.0,,,,,,,,,,,,1473433690.0,,1473433690.0,2016
D:/HDD Data/Downloads/2020-06-19_Inmail_Report.csv,,,,,2025:10:31 17:34:02+01:00,,,,,,,,,,,,,,,,,,1761928442.0,,,,,,,,,,,,,,1761928442.0,2025
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot (63).xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:02:04 16:55:06Z,,,,,,1761928451.0,,,,,,,,,,,,1580835306.0,,1580835306.0,2020
D:/HDD Data/Legion7Pro_backup/C1CD7804A0F98FEF-backup-0-29102025-00-00.mrimgx,,,,,2025:10:31 17:34:39+01:00,,,,,,,,,,,,,,,,,,1761928479.0,,,,,,,,,,,,,,1761928479.0,2025
D:/HDD Data/Downloads/EndOfProbationPeriod.xlsx,,,,,2025:10:31 17:34:15+01:00,,,,,,,,,,,,2020:01:23 20:09:57+02:00,,,,,,1761928455.0,,,,,,,,,,,,1579802997.0,,1579802997.0,2020
D:/HDD Data/Ciklum/Detailed Step Duration analysis/Step duration_Q2'19.xlsx,,,,,2025:10:31 17:33:41+01:00,,,,,,,,,,,,2020:02:21 11:18:37Z,,,,,,1761928421.0,,,,,,,,,,,,1582283917.0,,1582283917.0,2020
D:/HDD Data/Ciklum/Locations Staticstics/Location_Statistics_2019_DH&MS.pptx,,,,,2025:10:31 17:33:45+01:00,,,,,,,,,,,,2018:04:11 13:07:04Z,,,,,,1761928425.0,,,,,,,,,,,,1523452024.0,,1523452024.0,2018
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot (57).xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:02:04 15:51:57Z,,,,,,1761928451.0,,,,,,,,,,,,1580831517.0,,1580831517.0,2020
D:/HDD Data/Downloads/All vacancies (91).xlsx,,,,,2025:10:31 17:34:05+01:00,,,,,,,,,,,,2020:07:31 11:36:55Z,,,,,,1761928445.0,,,,,,,,,,,,1596195415.0,,1596195415.0,2020
D:/HDD Data/OTHER/Downloads/Popular indicators (9).xlsx,,,,,2025:10:31 17:52:53+01:00,,,,,,,,,,,,,,,,,,1761929573.0,,,,,,,,,,,,,,1761929573.0,2025
D:/HDD Data/Luxoft/FS updates/non-GSA report as of 24.06.2019 by stage.pdf,,,2019:06:26 17:22:32+03:00,,2025:10:31 17:50:51+01:00,,,,,,,,,,,,,,,,1561558952.0,,1761929451.0,,,,,,,,,,,,,,1561558952.0,2019
D:/HDD Data/Ciklum/eToro&Moon Active/Recruitment Activity_TI+TT.xlsx,,,,,2025:10:31 17:33:43+01:00,,,,,,,,,,,,2020:09:11 09:50:19Z,,,,,,1761928423.0,,,,,,,,,,,,1599817819.0,,1599817819.0,2020
D:/HDD Data/Downloads/19-12-2019-press-release-takeawaycom-full-year-2019-guidance.pdf,,,2019:12:19 16:14:30+01:00,,2025:10:31 17:34:02+01:00,,2019:12:19 16:14:30+01:00,,,,,,,,,,,,,,1576768470.0,,1761928442.0,,1576768470.0,,,,,,,,,,,,1576768470.0,2019
D:/HDD Data/Downloads/All vacancies (33).xlsx,,,,,2025:10:31 17:34:04+01:00,,,,,,,,,,,,2020:02:25 17:10:45Z,,,,,,1761928444.0,,,,,,,,,,,,1582650645.0,,1582650645.0,2020
D:/HDD Data/Downloads/Analytics Jobs All Traffic 20200907-20200915 (1).xlsx,,,,,2025:10:31 17:34:09+01:00,,,,,,,,,,,,,,,,,,1761928449.0,,,,,,,,,,,,,,1761928449.0,2025
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (69).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:10:12 09:09:05Z,,,,,,1761928453.0,,,,,,,,,,,,1602493745.0,,1602493745.0,2020
D:/HDD Data/OTHER/Новая папка/реферат.doc,,,,2011:03:20 20:35:00,2025:10:31 17:54:49+01:00,,,,,,,,,,,,,,,,,1300649700.0,1761929689.0,,,,,,,,,,,,,,1300649700.0,2011
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire.xlsx,,,,,2025:10:31 17:34:14+01:00,,,,,,,,,,,,2020:01:13 09:35:42Z,,,,,,1761928454.0,,,,,,,,,,,,1578908142.0,,1578908142.0,2020
D:/HDD Data/OTHER/Учеба/ТЕСТЫ (2).docx,,,,,2025:10:31 17:57:46+01:00,,,,,,,,,,,,2012:02:22 19:01:00Z,,,,,,1761929866.0,,,,,,,,,,,,1329937260.0,,1329937260.0,2012
D:/HDD Data/OTHER/Downloads/уголь газ_февраль_14.02.2017.xlsx,,,,,2025:10:31 17:53:22+01:00,,,,,,,,,,,,2017:02:16 14:41:36Z,,,,,,1761929602.0,,,,,,,,,,,,1487256096.0,,1487256096.0,2017
D:/HDD Data/Luxoft/20M business case/Financial model_20M_17.04.2019_v42.xlsb,,,,,2025:10:31 17:50:01+01:00,,,,,,,,,,,,2006:09:16 00:00:00Z,,,,,,1761929401.0,,,,,,,,,,,,1158364800.0,,1158364800.0,2006
D:/HDD Data/OTHER/Downloads/CRP1-practical-manual-on-transfer-pricing-for-developing-countries.pdf,,,2012:10:03 10:25:09-04:00,,2025:10:31 17:52:01+01:00,,2012:10:03 10:25:09-04:00,,,,,,,,,,,,,,1349274309.0,,1761929521.0,,1349274309.0,,,,,,,,,,,,1349274309.0,2012
D:/HDD Data/OTHER/big 4/Lesson 1 Useful Words.pdf,,,2014:02:18 19:27:17Z,,2025:10:31 17:51:21+01:00,,2014:02:18 19:27:17Z,,,,,,,,,,,,,,1392751637.0,,1761929481.0,,1392751637.0,,,,,,,,,,,,1392751637.0,2014
D:/HDD Data/1_uniques/Cash Sale (Sales Taxpreference=off).iif,,,,,2025:10:31 17:33:22+01:00,,,,,,,,,,,,,,,,,,1761928402.0,,,,,,,,,,,,,,1761928402.0,2025
D:/HDD Data/1_uniques/WP_20160409_16_48_19_Pro.jpg,2016:04:09 16:48:18,,,,2025:10:31 17:33:28+01:00,,,,2016:04:09 16:48:18,,,,,,,,,,1460213298.0,,,,1761928408.0,,,,1460213298.0,,,,,,,,,,1460213298.0,2016
D:/HDD Data/OTHER/Downloads/_ПК_февраль_2017_ДТ_04.02.2017.xlsb,,,,,2025:10:31 17:53:21+01:00,,,,,,,,,,,,2014:11:12 10:51:26Z,,,,,,1761929601.0,,,,,,,,,,,,1415789486.0,,1415789486.0,2014
D:/HDD Data/Downloads/Recommendation and sign-in February 2020.xlsx,,,,,2025:10:31 17:34:19+01:00,,,,,,,,,,,,2018:08:20 14:14:45Z,,,,,,1761928459.0,,,,,,,,,,,,1534774485.0,,1534774485.0,2018
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot (87).xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:05:05 07:40:45Z,,,,,,1761928451.0,,,,,,,,,,,,1588664445.0,,1588664445.0,2020
D:/HDD Data/Luxoft/Refinitiv workshop/2018 Annual Report.pdf,,,2019:03:13 15:07:52-04:00,,2025:10:31 17:50:59+01:00,,2019:03:13 15:07:52-04:00,,,,,,,,,,,,,,1552504072.0,,1761929459.0,,1552504072.0,,,,,,,,,,,,1552504072.0,2019
D:/HDD Data/OTHER/Книга Хорнгрен-Управленческий учет-1/drury_colin_management_and_cost_accounting.pdf,,,2013:06:20 02:36:42+01:00,,2025:10:31 17:54:46+01:00,,2013:06:20 02:36:42+01:00,,,,,,,,,,,,,,1371692202.0,,1761929686.0,,1371692202.0,,,,,,,,,,,,1371692202.0,2013
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (67).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:10:02 12:17:46Z,,,,,,1761928453.0,,,,,,,,,,,,1601641066.0,,1601641066.0,2020
D:/HDD Data/Downloads/Sourcing Productivity - Dec 19_v1.xlsx,,,,,2025:10:31 17:34:24+01:00,,,,,,,,,,,,,,,,,,1761928464.0,,,,,,,,,,,,,,1761928464.0,2025
D:/HDD Data/1_uniques/системно-динамічна модель укр.docx,,,,,2025:10:31 17:33:29+01:00,,,,,,,,,,,,2017:04:04 21:22:00Z,,,,,,1761928409.0,,,,,,,,,,,,1491340920.0,,1491340920.0,2017
D:/HDD Data/My personal/Excelian2019-MASTER-Part2.pptx,,,,,2025:10:31 17:51:16+01:00,,,,,,,,,,,,2018:12:07 11:27:48Z,,,,,,1761929476.0,,,,,,,,,,,,1544182068.0,,1544182068.0,2018
D:/HDD Data/OTHER/Downloads/Антициклічне регулювання економіки україни_Sacik_v.pdf,,,2011:01:23 23:38:21Z,,2025:10:31 17:53:21+01:00,,2011:01:23 23:38:21,,,,,,,,,,,,,,1295825901.0,,1761929601.0,,1295822301.0,,,,,,,,,,,,1295822301.0,2011
D:/HDD Data/OTHER/Downloads/inventory program.doc,,,,2003:02:06 23:50:00,2025:10:31 17:52:33+01:00,,,,,,,,,,,,,,,,,1044571800.0,1761929553.0,,,,,,,,,,,,,,1044571800.0,2003
D:/HDD Data/Luxoft/FS updates/Overview.pdf,,,2018:11:06 14:21:35+02:00,,2025:10:31 17:50:51+01:00,,,,,,,,,,,,,,,,1541506895.0,,1761929451.0,,,,,,,,,,,,,,1541506895.0,2018
D:/HDD Data/Downloads/All vacancies (26).xlsx,,,,,2025:10:31 17:34:03+01:00,,,,,,,,,,,,2020:02:13 08:08:59Z,,,,,,1761928443.0,,,,,,,,,,,,1581581339.0,,1581581339.0,2020
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot (31).xlsx,,,,,2025:10:31 17:34:10+01:00,,,,,,,,,,,,2020:01:30 11:03:11Z,,,,,,1761928450.0,,,,,,,,,,,,1580382191.0,,1580382191.0,2020
D:/HDD Data/Luxoft/Refinitiv workshop/Salesforce.xlsb,,,,,2025:10:31 17:50:59+01:00,,,,,,,,,,,,2019:06:06 21:18:33Z,,,,,,1761929459.0,,,,,,,,,,,,1559855913.0,,1559855913.0,2019
D:/HDD Data/Ciklum/Skyworker Testing/Filled Form.PNG,,,,,2025:10:31 17:33:53+01:00,,,,,,,,,,,,,,,,,,1761928433.0,,,,,,,,,,,,,,1761928433.0,2025
D:/HDD Data/OTHER/мсфо/sbornik_materialov_dlya_podgotovki_k_ekzamenu_acca_dipifr_di.rar,,,,,2025:10:31 17:54:48+01:00,,,,,,,,,,,,,,,,,,1761929688.0,,,,,,,,,,,,,,1761929688.0,2025
D:/HDD Data/OTHER/Downloads/Matrix_Futurebound_Max_Marshall_-_Control_(get-tune.net).mp3,,,,,2025:10:31 17:52:46+01:00,,,2013,,,,,,,,,,,,,,,1761929566.0,,,,,,,,,,,,,,1761929566.0,2025
D:/HDD Data/Downloads/Billable vacancies balance dynamics pivot - 2020-09-01T093933.986.xlsx,,,,,2025:10:31 17:34:11+01:00,,,,,,,,,,,,2020:09:01 06:39:32Z,,,,,,1761928451.0,,,,,,,,,,,,1598942372.0,,1598942372.0,2020
D:/HDD Data/Downloads/Call-Center-Dashboard_Final.xlsx,,,,,2025:10:31 17:34:12+01:00,,,,,,,,,,,,2015:03:31 11:23:42Z,,,,,,1761928452.0,,,,,,,,,,,,1427801022.0,,1427801022.0,2015
D:/HDD Data/Luxoft/FS updates/non-GSA per region 06 06 19.pdf,,,2019:06:05 12:31:58+03:00,,2025:10:31 17:50:51+01:00,,,,,,,,,,,,,,,,1559727118.0,,1761929451.0,,,,,,,,,,,,,,1559727118.0,2019
D:/HDD Data/Luxoft/20M business case/Financial model_20M_17.04.2019_v12.xlsb,,,,,2025:10:31 17:49:58+01:00,,,,,,,,,,,,2006:09:16 00:00:00Z,,,,,,1761929398.0,,,,,,,,,,,,1158364800.0,,1158364800.0,2006
D:/HDD Data/Ciklum/Cost per Hire/Cost per Hire planning_27.04.2020.xlsx,,,,,2025:10:31 17:33:37+01:00,,,,,,,,,,,,2020:01:03 10:46:49Z,,,,,,1761928417.0,,,,,,,,,,,,1578048409.0,,1578048409.0,2020
D:/HDD Data/OTHER/Downloads/R3hab_and_NERVO_feat._Ayah_Marar_-_Ready_For_The_Weekend_(Radio_Extended_Mix)_(PrimeMusic.ru).mp3,,,,,2025:10:31 17:52:56+01:00,,,2014,,,,,,,,,,,,,,,1761929576.0,,,,,,,,,,,,,,1761929576.0,2025
D:/HDD Data/OTHER/Книги/moya_borba.pdf.zip,,,,,2025:10:31 17:54:47+01:00,,,,,,,,,,,,,,,,,,1761929687.0,,,,,,,,,,,,,,1761929687.0,2025
D:/HDD Data/Luxoft/20M business case/Financial model_20M_17.04.2019.xlsb,,,,,2025:10:31 17:49:57+01:00,,,,,,,,,,,,2006:09:16 00:00:00Z,,,,,,1761929397.0,,,,,,,,,,,,1158364800.0,,1158364800.0,2006
D:/HDD Data/Downloads/Recruiter_Usage_Report_2020-05-01_2020-06-09.csv,,,,,2025:10:31 17:34:19+01:00,,,,,,,,,,,,,,,,,,1761928459.0,,,,,,,,,,,,,,1761928459.0,2025
D:/HDD Data/1_uniques/Банная линия + Аксессуары 02.04.13.xls..xls,,,,,2025:10:31 17:33:28+01:00,,,,,,,,,,,,,,,,,,1761928408.0,,,,,,,,,,,,,,1761928408.0,2025
D:/HDD Data/Downloads/Cost per hire by location_Dec19 summary.xlsx,,,,,2025:10:31 17:34:14+01:00,,,,,,,,,,,,2020:01:22 12:18:23Z,,,,,,1761928454.0,,,,,,,,,,,,1579695503.0,,1579695503.0,2020
D:/HDD Data/OTHER/Downloads/Sean_Kingston_Chris_Brown_Wiz_Khalifa_-_Beat_It_2013_Ice-Kafe_(get-tune.net).mp3,,,,,2025:10:31 17:52:58+01:00,,,,,,,,,,,,,,,,,,1761929578.0,,,,,,,,,,,,,,1761929578.0,2025
D:/HDD Data/OTHER/Downloads/Ummet_Ozcan_-_Raise_Your_Hands_Original_Mix_(get-tune.net).mp3,,,,,2025:10:31 17:53:13+01:00,,,2014,,,,,,,,,,,,,,,1761929593.0,,,,,,,,,,,,,,1761929593.0,2025
D:/HDD Data/OTHER/Downloads/Total_Coal_Consumption_(Quadrillion_Btu).xls,,,,,2025:10:31 17:53:13+01:00,,,,,,,,,,,,,,,,,,1761929593.0,,,,,,,,,,,,,,1761929593.0,2025
D:/HDD Data/Downloads/Candidate Sources_Cost per Hire (13).xlsx,,,,,2025:10:31 17:34:13+01:00,,,,,,,,,,,,2020:02:25 12:38:30Z,,,,,,1761928453.0,,,,,,,,,,,,1582634310.0,,1582634310.0,2020
D:/HDD Data/Downloads/Analytics Jobs All Traffic 20201007-20201008.xlsx,,,,,2025:10:31 17:34:09+01:00,,,,,,,,,,,,,,,,,,1761928449.0,,,,,,,,,,,,,,1761928449.0,2025
D:/HDD Data/OTHER/Downloads/us_gdptotal_25298217494081.xls,,,,,2025:10:31 17:53:14+01:00,,,,,,,,,,,,,,,,,,1761929594.0,,,,,,,,,,,,,,1761929594.0,2025
